epoch,fid
10,212.83516476077472
20,198.4081884620894
30,181.77062282258362
40,170.5002943290644
50,189.8378448229702
60,186.93333817559562
70,188.03575306847662
80,173.44872610994113
90,158.17340937678645
100,149.97377387546572
110,155.93805923193906
120,162.58350936252177
130,149.85541001119674
140,143.3580990150462
150,150.13944288938632
160,159.01890272662726
170,154.8470320967913
180,158.3594042105845
190,154.17163921892504
200,153.13600707239667
